RepoName,RepoType,GitHubURL
snipsco/snips-nlu,Tool,https://github.com/snipsco/snips-nlu.git
DeNA/ChainerPruner,Tool,https://github.com/DeNA/ChainerPruner.git
chakki-works/sumeval,Tool,https://github.com/chakki-works/sumeval.git
dssg/triage,Tool,https://github.com/dssg/triage.git
jmaggio14/imagepypelines,Tool,https://github.com/jmaggio14/imagepypelines.git
thehyve/tmtk,Tool,https://github.com/thehyve/tmtk.git
amzn/xfer,Tool,https://github.com/amzn/xfer.git
BIMSBbioinfo/maui,Tool,https://github.com/BIMSBbioinfo/maui.git
CPJKU/madmom,Tool,https://github.com/CPJKU/madmom.git
kakao/n2,Tool,https://github.com/kakao/n2.git
JohnVinyard/zounds,Tool,https://github.com/JohnVinyard/zounds.git
ysig/GraKeL,Tool,https://github.com/ysig/GraKeL.git
proycon/colibri-core,Tool,https://github.com/proycon/colibri-core.git
Thenerdstation/mltest,Tool,https://github.com/Thenerdstation/mltest.git
microsoft/MMdnn,Tool,https://github.com/microsoft/MMdnn.git
chainer/chainerrl,Tool,https://github.com/chainer/chainerrl.git
vzhong/embeddings,Tool,https://github.com/vzhong/embeddings.git
DynaSlum/satsense,Tool,https://github.com/DynaSlum/satsense.git
SmartDataAnalytics/BioKEEN,Tool,https://github.com/SmartDataAnalytics/BioKEEN.git
mdbloice/Augmentor,Tool,https://github.com/mdbloice/Augmentor.git
tensorflow/tensor2tensor,Tool,https://github.com/tensorflow/tensor2tensor.git
plstcharles/thelper,Tool,https://github.com/plstcharles/thelper.git
majianjia/nnom,Tool,https://github.com/majianjia/nnom.git
yasserfarouk/negmas,Tool,https://github.com/yasserfarouk/negmas.git
TeamHG-Memex/eli5,Tool,https://github.com/TeamHG-Memex/eli5.git
nilearn/nilearn,Tool,https://github.com/nilearn/nilearn.git
yzhao062/pyod,Tool,https://github.com/yzhao062/pyod.git
Aifred-Health/Vulcan,Tool,https://github.com/Aifred-Health/Vulcan.git
PaddlePaddle/X2Paddle,Tool,https://github.com/PaddlePaddle/X2Paddle.git
annoviko/pyclustering,Tool,https://github.com/annoviko/pyclustering.git
ibayer/fastFM,Tool,https://github.com/ibayer/fastFM.git
medtagger/MedTagger,Tool,https://github.com/medtagger/MedTagger.git
mideind/Icegrams,Tool,https://github.com/mideind/Icegrams.git
openeventdata/mordecai,Tool,https://github.com/openeventdata/mordecai.git
rasbt/mlxtend,Tool,https://github.com/rasbt/mlxtend.git
usnistgov/jarvis,Tool,https://github.com/usnistgov/jarvis.git
wmkouw/libTLDA,Tool,https://github.com/wmkouw/libTLDA.git
DanielJDufour/language-detector,Applied,https://github.com/DanielJDufour/language-detector.git
IBM/MAX-Breast-Cancer-Mitosis-Detector,Applied,https://github.com/IBM/MAX-Breast-Cancer-Mitosis-Detector.git
IBM/MAX-Fast-Neural-Style-Transfer,Applied,https://github.com/IBM/MAX-Fast-Neural-Style-Transfer.git
IBM/MAX-Image-Segmenter,Applied,https://github.com/IBM/MAX-Image-Segmenter.git
IBM/MAX-Inception-ResNet-v2,Applied,https://github.com/IBM/MAX-Inception-ResNet-v2.git
IBM/MAX-Review-Text-Generator,Applied,https://github.com/IBM/MAX-Review-Text-Generator.git
IBM/MAX-Scene-Classifier,Applied,https://github.com/IBM/MAX-Scene-Classifier.git
IBM/MAX-Sports-Video-Classifier,Applied,https://github.com/IBM/MAX-Sports-Video-Classifier.git
IBM/MAX-Weather-Forecaster,Applied,https://github.com/IBM/MAX-Weather-Forecaster.git
IBM/mi-prometheus,Tool,https://github.com/IBM/mi-prometheus.git
LanguageMachines/PICCL,Applied,https://github.com/LanguageMachines/PICCL.git
PIQuIL/QuCumber,Applied,https://github.com/PIQuIL/QuCumber.git
RomanovMikeV/setka,Applied,https://github.com/RomanovMikeV/setka.git
WenjieZ/TSCV,Tool,https://github.com/WenjieZ/TSCV.git
X-DataInitiative/tick,Applied,https://github.com/X-DataInitiative/tick.git
aldro61/mmit,Applied,https://github.com/aldro61/mmit.git
biocore/calour,Applied,https://github.com/biocore/calour.git
datasciencecampus/pyGrams,Applied,https://github.com/datasciencecampus/pyGrams.git
deepfakes/faceswap,Applied,https://github.com/deepfakes/faceswap.git
font-bakers/knead,Applied,https://github.com/font-bakers/knead.git
gbnk0/simple-image-classifier,Applied,https://github.com/gbnk0/simple-image-classifier.git
jobovy/extreme-deconvolution,Applied,https://github.com/jobovy/extreme-deconvolution.git
lyst/lightfm,Applied,https://github.com/lyst/lightfm.git
maciejkula/spotlight,Applied,https://github.com/maciejkula/spotlight.git
mapbox/robosat,Applied,https://github.com/mapbox/robosat.git
mirapy-org/mirapy,Applied,https://github.com/mirapy-org/mirapy.git
moe-serifu-circle/moe-serifu-agent,Applied,https://github.com/moe-serifu-circle/moe-serifu-agent.git
molecularsets/moses,Applied,https://github.com/molecularsets/moses.git
msmbuilder/osprey,Applied,https://github.com/msmbuilder/osprey.git
nathan-toubiana/scitime,Applied,https://github.com/nathan-toubiana/scitime.git
